 area_unit,bathrooms,bedrooms,home_size,home_type,last_sold_date,last_sold_price,link,price,property_size,rent_price,rentzestimate_amount,rentzestimate_last_updated,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zillow_id,address,city,state,zipcode
 SqFt,2.0,4,1372,SingleFamily,,,https://www.zillow.com/homedetails/7417-Quimby-Ave-West-Hills-CA-91307/19866015_zpid/,$739K,10611,,2850,08/07/2018,215083.0,2017,1956,709630,08/07/2018,19866015,7417 Quimby Ave,West Hills,CA,91307
 SqFt,2.5,4,1490,SingleFamily,12/18/2017,720000,https://www.zillow.com/homedetails/7001-Vicky-Ave-West-Hills-CA-91307/19868265_zpid/,$720K,7557,,3000,08/07/2018,535000.0,2017,1958,703598,08/07/2018,19868265,7001 Vicky Ave,West Hills,CA,91307
 SqFt,2.0,4,1448,SingleFamily,04/05/2018,715000,https://www.zillow.com/homedetails/6934-Melba-Ave-West-Hills-CA-91307/19869279_zpid/,$715K,7222,,2800,08/07/2018,178484.0,2017,1957,711460,08/07/2018,19869279,6934 Melba Ave,West Hills,CA,91307
 SqFt,3.0,4,1800,SingleFamily,10/11/2017,1200000,https://www.zillow.com/homedetails/7143-Pomelo-Dr-West-Hills-CA-91307/19871789_zpid/,$1.2M,12196,,3200,08/07/2018,451808.0,2017,1964,782165,08/07/2018,19871789,7143 Pomelo Dr,West Hills,CA,91307
 SqFt,2.0,4,1404,SingleFamily,05/31/2018,739000,https://www.zillow.com/homedetails/23900-Mobile-St-West-Hills-CA-91307/19873548_zpid/,$739K,7502,,2900,08/07/2018,66913.0,2017,1960,695537,08/07/2018,19873548,23900 Mobile St,West Hills,CA,91307
 SqFt,4.0,4,1150,SingleFamily,10/26/2017,800000,https://www.zillow.com/homedetails/23513-Friar-St-Woodland-Hills-CA-91367/19875214_zpid/,$800K,6847,,2950,08/07/2018,488000.0,2017,1959,747009,08/07/2018,19875214,23513 Friar St,Woodland Hills,CA,91367
 SqFt,2.0,4,1361,SingleFamily,06/07/2018,728000,https://www.zillow.com/homedetails/23251-Hamlin-St-West-Hills-CA-91307/19875805_zpid/,$728K,6969,,2825,08/07/2018,645000.0,2017,1957,723919,08/07/2018,19875805,23251 Hamlin St,West Hills,CA,91307
 SqFt,2.0,4,1354,SingleFamily,09/07/2017,720000,https://www.zillow.com/homedetails/23284-Mobile-St-West-Hills-CA-91307/19875852_zpid/,$720K,7623,,2850,08/07/2018,71621.0,2017,1957,656661,08/07/2018,19875852,23284 Mobile St,West Hills,CA,91307
 SqFt,2.0,4,1354,SingleFamily,02/23/2018,707000,https://www.zillow.com/homedetails/6617-Dannyboyar-Ave-West-Hills-CA-91307/19876588_zpid/,$707K,7213,,2795,08/07/2018,72410.0,2017,1957,720173,08/07/2018,19876588,6617 Dannyboyar Ave,West Hills,CA,91307
 SqFt,2.0,4,1611,SingleFamily,06/16/2015,706000,https://www.zillow.com/homedetails/22848-Ostronic-Dr-Woodland-Hills-CA-91367/19879550_zpid/,$1.93M,12240,,3395,08/07/2018,731099.0,2017,1950,1528978,08/07/2018,19879550,22848 Ostronic Dr,Woodland Hills,CA,91367
 SqFt,2.0,4,1928,SingleFamily,12/19/2017,1275000,https://www.zillow.com/homedetails/23262-Gonzales-Dr-Woodland-Hills-CA-91367/19880101_zpid/,$1.27M,19544,,3500,08/07/2018,94799.0,2017,1953,723729,08/07/2018,19880101,23262 Gonzales Dr,Woodland Hills,CA,91367
 SqFt,3.0,4,2,SingleFamily,01/26/2017,810000,https://www.zillow.com/homedetails/23711-Clarendon-St-Woodland-Hills-CA-91367/19881445_zpid/,$810K,10890,,3600,08/07/2018,790000.0,2017,1962,953824,08/07/2018,19881445,23711 Clarendon St,Woodland Hills,CA,91367
 SqFt,4.0,4,3000,SingleFamily,02/02/2017,2076500,https://www.zillow.com/homedetails/5949-Clear-Valley-Rd-Hidden-Hills-CA-91302/19882639_zpid/,$2.08M,43995,,8999,08/07/2018,1838109.0,2017,1955,2366597,08/07/2018,19882639,5949 Clear Valley Rd,Hidden Hills,CA,91302
 SqFt,5.0,5,4100,SingleFamily,03/30/2017,2796000,https://www.zillow.com/homedetails/6051-Spring-Valley-Rd-Hidden-Hills-CA-91302/19882694_zpid/,$2.8M,164221,,9735,08/07/2018,1515162.0,2017,1954,,01/01/1970,19882694,6051 Spring Valley Rd,Hidden Hills,CA,91302
 SqFt,8.0,5,4490,SingleFamily,07/10/2002,961000,https://www.zillow.com/homedetails/5873-Fitzpatrick-Rd-Hidden-Hills-CA-91302/19882716_zpid/,$2.8M,42932,,10077,08/07/2018,1423403.0,2017,1962,3229805,08/07/2018,19882716,5873 Fitzpatrick Rd,Hidden Hills,CA,91302
 SqFt,4.0,5,3361,SingleFamily,09/15/2017,2370000,https://www.zillow.com/homedetails/5885-Fitzpatrick-Rd-Hidden-Hills-CA-91302/19882718_zpid/,$2.37M,47916,,8900,08/07/2018,1431672.0,2017,1962,2677690,08/07/2018,19882718,5885 Fitzpatrick Rd,Hidden Hills,CA,91302
 SqFt,4.0,6,4021,SingleFamily,12/14/2016,2725000,https://www.zillow.com/homedetails/5303-Round-Meadow-Rd-Hidden-Hills-CA-91302/19882743_zpid/,$2.73M,66924,,9493,08/07/2018,2725000.0,2017,1955,3100504,08/07/2018,19882743,5303 Round Meadow Rd,Hidden Hills,CA,91302
 SqFt,4.0,4,3004,SingleFamily,08/03/2017,2625000,https://www.zillow.com/homedetails/24645-Wingfield-Rd-Hidden-Hills-CA-91302/19882762_zpid/,$2.62M,44744,,9219,08/07/2018,521632.0,2017,1952,2823690,08/07/2018,19882762,24645 Wingfield Rd,Hidden Hills,CA,91302
